gmina_name;date;potas
Aleksandrów;01.01.1995;
Andrespol;01.01.1995;
Belsk Duży;01.01.1995;
Będków;01.01.1995;
Białaczów;01.01.1995;
Białobrzegi;01.01.1995;
Bliżyn;01.01.1995;
Błędów;01.01.1995;
Brójce;01.01.1995;
Budziszewice;01.01.1995;
Charsznica;01.01.1995;
Czarnocin;01.01.1995;
Czerniewice;01.01.1995;
Drzewica;01.01.1995;
Fałków;01.01.1995;
Gielniów;01.01.1995;
Głowaczów;01.01.1995;
Gorzkowice;01.01.1995;
Goszczyn;01.01.1995;
Gowarczów;01.01.1995;
Grabica;01.01.1995;
Grabów nad Pilicą;01.01.1995;
Inowłódz;01.01.1995;
Irządze;01.01.1995;
Kluczewsko;01.01.1995;
Klwów;01.01.1995;
Kobiele Wielkie;01.01.1995;
Kodrąb;01.01.1995;
Koluszki;01.01.1995;
Koniecpol;01.01.1995;
Końskie;01.01.1995;
Kozłów;01.01.1995;
Krasocin;01.01.1995;
Kroczyce;01.01.1995;
Lelów;01.01.1995;
Lubochnia;01.01.1995;
Łęki Szlacheckie;01.01.1995;
Łopuszno;01.01.1995;
Magnuszew;01.01.1995;
Masłowice;01.01.1995;
Mniów;01.01.1995;
Mniszków;01.01.1995;
Mogielnica;01.01.1995;
Moskorzew;01.01.1995;
Moszczenica;01.01.1995;
Niegowa;01.01.1995;
Nowe Miasto nad Pilicą;01.01.1995;
Nowosolna;01.01.1995;
Odrzywół;01.01.1995;
Ogrodzieniec;01.01.1995;
Opoczno;01.01.1995;
Paradyż;01.01.1995;
Pilica;01.01.1995;
Piotrków Trybunalski;01.01.1995;
Poświętne;01.01.1995;
Promna;01.01.1995;
Przedbórz;01.01.1995;
Przysucha;01.01.1995;
Radoszyce;01.01.1995;
Radzanów;01.01.1995;
Ręczno;01.01.1995;
Rokiciny;01.01.1995;
Rozprza;01.01.1995;
Ruda Maleniecka;01.01.1995;
Rusinów;01.01.1995;
Rzeczyca;01.01.1995;
Sadkowice;01.01.1995;
Secemin;01.01.1995;
Sławno;01.01.1995;
Słupia;01.01.1995;
Słupia Konecka;01.01.1995;
Smyków;01.01.1995;
Stąporków;01.01.1995;
Stromiec;01.01.1995;
Sulejów;01.01.1995;
Szczekociny;01.01.1995;
Tomaszów Mazowiecki miasto;01.01.1995;
Tomaszów Mazowiecki wiejski;01.01.1995;
Tuszyn;01.01.1995;
Ujazd;01.01.1995;
Warka;01.01.1995;
Wielgomłyny;01.01.1995;
Włodowice;01.01.1995;
Włoszczowa;01.01.1995;
Wola Krzysztoporska;01.01.1995;
Wolbórz;01.01.1995;
Wolbrom;01.01.1995;
Wyśmierzyce;01.01.1995;
Zagnańsk;01.01.1995;
Zawiercie;01.01.1995;
Żarnowiec;01.01.1995;
Żarnów;01.01.1995;
Żytno;01.01.1995;
Aleksandrów;01.01.1996;
Andrespol;01.01.1996;
Belsk Duży;01.01.1996;
Będków;01.01.1996;
Białaczów;01.01.1996;
Białobrzegi;01.01.1996;
Bliżyn;01.01.1996;
Błędów;01.01.1996;
Brójce;01.01.1996;
Budziszewice;01.01.1996;
Charsznica;01.01.1996;
Czarnocin;01.01.1996;
Czerniewice;01.01.1996;
Drzewica;01.01.1996;
Fałków;01.01.1996;
Gielniów;01.01.1996;
Głowaczów;01.01.1996;
Gorzkowice;01.01.1996;
Goszczyn;01.01.1996;
Gowarczów;01.01.1996;
Grabica;01.01.1996;
Grabów nad Pilicą;01.01.1996;
Inowłódz;01.01.1996;
Irządze;01.01.1996;
Kluczewsko;01.01.1996;
Klwów;01.01.1996;
Kobiele Wielkie;01.01.1996;
Kodrąb;01.01.1996;
Koluszki;01.01.1996;
Koniecpol;01.01.1996;
Końskie;01.01.1996;
Kozłów;01.01.1996;
Krasocin;01.01.1996;
Kroczyce;01.01.1996;
Lelów;01.01.1996;
Lubochnia;01.01.1996;
Łęki Szlacheckie;01.01.1996;
Łopuszno;01.01.1996;
Magnuszew;01.01.1996;
Masłowice;01.01.1996;
Mniów;01.01.1996;
Mniszków;01.01.1996;
Mogielnica;01.01.1996;
Moskorzew;01.01.1996;
Moszczenica;01.01.1996;
Niegowa;01.01.1996;
Nowe Miasto nad Pilicą;01.01.1996;
Nowosolna;01.01.1996;
Odrzywół;01.01.1996;
Ogrodzieniec;01.01.1996;
Opoczno;01.01.1996;
Paradyż;01.01.1996;
Pilica;01.01.1996;
Piotrków Trybunalski;01.01.1996;
Poświętne;01.01.1996;
Promna;01.01.1996;
Przedbórz;01.01.1996;
Przysucha;01.01.1996;
Radoszyce;01.01.1996;
Radzanów;01.01.1996;
Ręczno;01.01.1996;
Rokiciny;01.01.1996;
Rozprza;01.01.1996;
Ruda Maleniecka;01.01.1996;
Rusinów;01.01.1996;
Rzeczyca;01.01.1996;
Sadkowice;01.01.1996;
Secemin;01.01.1996;
Sławno;01.01.1996;
Słupia;01.01.1996;
Słupia Konecka;01.01.1996;
Smyków;01.01.1996;
Stąporków;01.01.1996;
Stromiec;01.01.1996;
Sulejów;01.01.1996;
Szczekociny;01.01.1996;
Tomaszów Mazowiecki miasto;01.01.1996;
Tomaszów Mazowiecki wiejski;01.01.1996;
Tuszyn;01.01.1996;
Ujazd;01.01.1996;
Warka;01.01.1996;
Wielgomłyny;01.01.1996;
Włodowice;01.01.1996;
Włoszczowa;01.01.1996;
Wola Krzysztoporska;01.01.1996;
Wolbórz;01.01.1996;
Wolbrom;01.01.1996;
Wyśmierzyce;01.01.1996;
Zagnańsk;01.01.1996;
Zawiercie;01.01.1996;
Żarnowiec;01.01.1996;
Żarnów;01.01.1996;
Żytno;01.01.1996;
Aleksandrów;01.01.1997;
Andrespol;01.01.1997;
Belsk Duży;01.01.1997;
Będków;01.01.1997;
Białaczów;01.01.1997;
Białobrzegi;01.01.1997;
Bliżyn;01.01.1997;
Błędów;01.01.1997;
Brójce;01.01.1997;
Budziszewice;01.01.1997;
Charsznica;01.01.1997;
Czarnocin;01.01.1997;
Czerniewice;01.01.1997;
Drzewica;01.01.1997;
Fałków;01.01.1997;
Gielniów;01.01.1997;
Głowaczów;01.01.1997;
Gorzkowice;01.01.1997;
Goszczyn;01.01.1997;
Gowarczów;01.01.1997;
Grabica;01.01.1997;
Grabów nad Pilicą;01.01.1997;
Inowłódz;01.01.1997;
Irządze;01.01.1997;
Kluczewsko;01.01.1997;
Klwów;01.01.1997;
Kobiele Wielkie;01.01.1997;
Kodrąb;01.01.1997;
Koluszki;01.01.1997;
Koniecpol;01.01.1997;
Końskie;01.01.1997;
Kozłów;01.01.1997;
Krasocin;01.01.1997;
Kroczyce;01.01.1997;
Lelów;01.01.1997;
Lubochnia;01.01.1997;
Łęki Szlacheckie;01.01.1997;
Łopuszno;01.01.1997;
Magnuszew;01.01.1997;
Masłowice;01.01.1997;
Mniów;01.01.1997;
Mniszków;01.01.1997;
Mogielnica;01.01.1997;
Moskorzew;01.01.1997;
Moszczenica;01.01.1997;
Niegowa;01.01.1997;
Nowe Miasto nad Pilicą;01.01.1997;
Nowosolna;01.01.1997;
Odrzywół;01.01.1997;
Ogrodzieniec;01.01.1997;
Opoczno;01.01.1997;
Paradyż;01.01.1997;
Pilica;01.01.1997;
Piotrków Trybunalski;01.01.1997;
Poświętne;01.01.1997;
Promna;01.01.1997;
Przedbórz;01.01.1997;
Przysucha;01.01.1997;
Radoszyce;01.01.1997;
Radzanów;01.01.1997;
Ręczno;01.01.1997;
Rokiciny;01.01.1997;
Rozprza;01.01.1997;
Ruda Maleniecka;01.01.1997;
Rusinów;01.01.1997;
Rzeczyca;01.01.1997;
Sadkowice;01.01.1997;
Secemin;01.01.1997;
Sławno;01.01.1997;
Słupia;01.01.1997;
Słupia Konecka;01.01.1997;
Smyków;01.01.1997;
Stąporków;01.01.1997;
Stromiec;01.01.1997;
Sulejów;01.01.1997;
Szczekociny;01.01.1997;
Tomaszów Mazowiecki miasto;01.01.1997;
Tomaszów Mazowiecki wiejski;01.01.1997;
Tuszyn;01.01.1997;
Ujazd;01.01.1997;
Warka;01.01.1997;
Wielgomłyny;01.01.1997;
Włodowice;01.01.1997;
Włoszczowa;01.01.1997;
Wola Krzysztoporska;01.01.1997;
Wolbórz;01.01.1997;
Wolbrom;01.01.1997;
Wyśmierzyce;01.01.1997;
Zagnańsk;01.01.1997;
Zawiercie;01.01.1997;
Żarnowiec;01.01.1997;
Żarnów;01.01.1997;
Żytno;01.01.1997;
Aleksandrów;01.01.1998;
Andrespol;01.01.1998;
Belsk Duży;01.01.1998;
Będków;01.01.1998;
Białaczów;01.01.1998;
Białobrzegi;01.01.1998;
Bliżyn;01.01.1998;
Błędów;01.01.1998;
Brójce;01.01.1998;
Budziszewice;01.01.1998;
Charsznica;01.01.1998;
Czarnocin;01.01.1998;
Czerniewice;01.01.1998;
Drzewica;01.01.1998;
Fałków;01.01.1998;
Gielniów;01.01.1998;
Głowaczów;01.01.1998;
Gorzkowice;01.01.1998;
Goszczyn;01.01.1998;
Gowarczów;01.01.1998;
Grabica;01.01.1998;
Grabów nad Pilicą;01.01.1998;
Inowłódz;01.01.1998;
Irządze;01.01.1998;
Kluczewsko;01.01.1998;
Klwów;01.01.1998;
Kobiele Wielkie;01.01.1998;
Kodrąb;01.01.1998;
Koluszki;01.01.1998;
Koniecpol;01.01.1998;
Końskie;01.01.1998;
Kozłów;01.01.1998;
Krasocin;01.01.1998;
Kroczyce;01.01.1998;
Lelów;01.01.1998;
Lubochnia;01.01.1998;
Łęki Szlacheckie;01.01.1998;
Łopuszno;01.01.1998;
Magnuszew;01.01.1998;
Masłowice;01.01.1998;
Mniów;01.01.1998;
Mniszków;01.01.1998;
Mogielnica;01.01.1998;
Moskorzew;01.01.1998;
Moszczenica;01.01.1998;
Niegowa;01.01.1998;
Nowe Miasto nad Pilicą;01.01.1998;
Nowosolna;01.01.1998;
Odrzywół;01.01.1998;
Ogrodzieniec;01.01.1998;
Opoczno;01.01.1998;
Paradyż;01.01.1998;
Pilica;01.01.1998;
Piotrków Trybunalski;01.01.1998;
Poświętne;01.01.1998;
Promna;01.01.1998;
Przedbórz;01.01.1998;
Przysucha;01.01.1998;
Radoszyce;01.01.1998;
Radzanów;01.01.1998;
Ręczno;01.01.1998;
Rokiciny;01.01.1998;
Rozprza;01.01.1998;
Ruda Maleniecka;01.01.1998;
Rusinów;01.01.1998;
Rzeczyca;01.01.1998;
Sadkowice;01.01.1998;
Secemin;01.01.1998;
Sławno;01.01.1998;
Słupia;01.01.1998;
Słupia Konecka;01.01.1998;
Smyków;01.01.1998;
Stąporków;01.01.1998;
Stromiec;01.01.1998;
Sulejów;01.01.1998;
Szczekociny;01.01.1998;
Tomaszów Mazowiecki miasto;01.01.1998;
Tomaszów Mazowiecki wiejski;01.01.1998;
Tuszyn;01.01.1998;
Ujazd;01.01.1998;
Warka;01.01.1998;
Wielgomłyny;01.01.1998;
Włodowice;01.01.1998;
Włoszczowa;01.01.1998;
Wola Krzysztoporska;01.01.1998;
Wolbórz;01.01.1998;
Wolbrom;01.01.1998;
Wyśmierzyce;01.01.1998;
Zagnańsk;01.01.1998;
Zawiercie;01.01.1998;
Żarnowiec;01.01.1998;
Żarnów;01.01.1998;
Żytno;01.01.1998;
Aleksandrów;01.01.1999;
Andrespol;01.01.1999;
Belsk Duży;01.01.1999;
Będków;01.01.1999;
Białaczów;01.01.1999;
Białobrzegi;01.01.1999;
Bliżyn;01.01.1999;
